date_key,order_date,month,month_name,year,quarter,day_of_week,season
20250704,2025-07-04,7,July,2025,Q3,Friday,Summer
20260315,2026-03-15,3,March,2026,Q1,Sunday,Spring/Ramazan
20251015,2025-10-15,10,October,2025,Q4,Wednesday,Autumn
20250917,2025-09-17,9,September,2025,Q3,Wednesday,Autumn
20250826,2025-08-26,8,August,2025,Q3,Tuesday,Summer
20251117,2025-11-17,11,November,2025,Q4,Monday,Autumn
20250419,2025-04-19,4,April,2025,Q2,Saturday,Spring/Ramazan
20260325,2026-03-25,3,March,2026,Q1,Wednesday,Spring/Ramazan
20260203,2026-02-03,2,February,2026,Q1,Tuesday,Winter
20250618,2025-06-18,6,June,2025,Q2,Wednesday,Summer
20260402,2026-04-02,4,April,2026,Q2,Thursday,Spring/Ramazan
20260120,2026-01-20,1,January,2026,Q1,Tuesday,Winter
20260124,2026-01-24,1,January,2026,Q1,Saturday,Winter
20250124,2025-01-24,1,January,2025,Q1,Friday,Winter
20251221,2025-12-21,12,December,2025,Q4,Sunday,Winter
20251105,2025-11-05,11,November,2025,Q4,Wednesday,Autumn
20250531,2025-05-31,5,May,2025,Q2,Saturday,Spring/Ramazan
20260201,2026-02-01,2,February,2026,Q1,Sunday,Winter
20250512,2025-05-12,5,May,2025,Q2,Monday,Spring/Ramazan
20250120,2025-01-20,1,January,2025,Q1,Monday,Winter
20251001,2025-10-01,10,October,2025,Q4,Wednesday,Autumn
20250715,2025-07-15,7,July,2025,Q3,Tuesday,Summer
20251121,2025-11-21,11,November,2025,Q4,Friday,Autumn
20260312,2026-03-12,3,March,2026,Q1,Thursday,Spring/Ramazan
20251120,2025-11-20,11,November,2025,Q4,Thursday,Autumn
20250222,2025-02-22,2,February,2025,Q1,Saturday,Winter
20250801,2025-08-01,8,August,2025,Q3,Friday,Summer
20251116,2025-11-16,11,November,2025,Q4,Sunday,Autumn
20251029,2025-10-29,10,October,2025,Q4,Wednesday,Autumn
20250924,2025-09-24,9,September,2025,Q3,Wednesday,Autumn
20250830,2025-08-30,8,August,2025,Q3,Saturday,Summer
20250726,2025-07-26,7,July,2025,Q3,Saturday,Summer
20250624,2025-06-24,6,June,2025,Q2,Tuesday,Summer
20251011,2025-10-11,10,October,2025,Q4,Saturday,Autumn
20251212,2025-12-12,12,December,2025,Q4,Friday,Winter
20250220,2025-02-20,2,February,2025,Q1,Thursday,Winter
20251023,2025-10-23,10,October,2025,Q4,Thursday,Autumn
20250625,2025-06-25,6,June,2025,Q2,Wednesday,Summer
20250927,2025-09-27,9,September,2025,Q3,Saturday,Autumn
20251008,2025-10-08,10,October,2025,Q4,Wednesday,Autumn
20250626,2025-06-26,6,June,2025,Q2,Thursday,Summer
20250804,2025-08-04,8,August,2025,Q3,Monday,Summer
20250321,2025-03-21,3,March,2025,Q1,Friday,Spring/Ramazan
20250907,2025-09-07,9,September,2025,Q3,Sunday,Autumn
20260329,2026-03-29,3,March,2026,Q1,Sunday,Spring/Ramazan
20260401,2026-04-01,4,April,2026,Q2,Wednesday,Spring/Ramazan
20251016,2025-10-16,10,October,2025,Q4,Thursday,Autumn
20250218,2025-02-18,2,February,2025,Q1,Tuesday,Winter
20250901,2025-09-01,9,September,2025,Q3,Monday,Autumn
20260126,2026-01-26,1,January,2026,Q1,Monday,Winter
20260319,2026-03-19,3,March,2026,Q1,Thursday,Spring/Ramazan
20260408,2026-04-08,4,April,2026,Q2,Wednesday,Spring/Ramazan
20260411,2026-04-11,4,April,2026,Q2,Saturday,Spring/Ramazan
20251018,2025-10-18,10,October,2025,Q4,Saturday,Autumn
20250401,2025-04-01,4,April,2025,Q2,Tuesday,Spring/Ramazan
20260328,2026-03-28,3,March,2026,Q1,Saturday,Spring/Ramazan
20250713,2025-07-13,7,July,2025,Q3,Sunday,Summer
20250316,2025-03-16,3,March,2025,Q1,Sunday,Spring/Ramazan
20251020,2025-10-20,10,October,2025,Q4,Monday,Autumn
20250910,2025-09-10,9,September,2025,Q3,Wednesday,Autumn
20260213,2026-02-13,2,February,2026,Q1,Friday,Winter
20250318,2025-03-18,3,March,2025,Q1,Tuesday,Spring/Ramazan
20251101,2025-11-01,11,November,2025,Q4,Saturday,Autumn
20250416,2025-04-16,4,April,2025,Q2,Wednesday,Spring/Ramazan
20260323,2026-03-23,3,March,2026,Q1,Monday,Spring/Ramazan
20250716,2025-07-16,7,July,2025,Q3,Wednesday,Summer
20250217,2025-02-17,2,February,2025,Q1,Monday,Winter
20251206,2025-12-06,12,December,2025,Q4,Saturday,Winter
20250617,2025-06-17,6,June,2025,Q2,Tuesday,Summer
20250820,2025-08-20,8,August,2025,Q3,Wednesday,Summer
20250727,2025-07-27,7,July,2025,Q3,Sunday,Summer
20250227,2025-02-27,2,February,2025,Q1,Thursday,Winter
20250418,2025-04-18,4,April,2025,Q2,Friday,Spring/Ramazan
20251229,2025-12-29,12,December,2025,Q4,Monday,Winter
20250402,2025-04-02,4,April,2025,Q2,Wednesday,Spring/Ramazan
20250603,2025-06-03,6,June,2025,Q2,Tuesday,Summer
20251109,2025-11-09,11,November,2025,Q4,Sunday,Autumn
20250614,2025-06-14,6,June,2025,Q2,Saturday,Summer
20251223,2025-12-23,12,December,2025,Q4,Tuesday,Winter
