order_id,date_key,customer_key,product_key,store_key,unit_price_pkr,quantity,discount_pct,discount_amount_pkr,sales_pkr,profit_pkr,profit_margin_pct,payment_method,delivery_type
ORD001000,20250704,1,1,1,103.0,4,0,0,412.0,81.0,19.7,Cash,In-Store
ORD001000,20250704,1,2,1,489.0,4,0,0,1956.0,476.0,24.3,Debit Card,In-Store
ORD001000,20250704,1,3,1,793.0,3,0,0,2379.0,493.0,20.7,EasyPaisa,In-Store
ORD001000,20250704,1,4,1,86.0,3,0,0,258.0,28.0,10.9,JazzCash,In-Store
ORD001001,20260315,1,5,2,381.0,4,0,0,1524.0,245.0,16.1,Cash,In-Store
ORD001001,20260315,1,6,2,142.0,1,0,0,142.0,29.0,20.4,EasyPaisa,In-Store
ORD001001,20260315,1,7,2,65.0,4,0,0,260.0,41.0,15.8,Cash,Home Delivery
ORD001001,20260315,1,8,2,362.0,3,5,54,1032.0,185.0,17.9,Cash,In-Store
ORD001002,20251015,1,9,1,856.0,3,0,0,2568.0,582.0,22.7,Credit Card,In-Store
ORD001002,20251015,1,10,1,205.0,2,0,0,410.0,96.0,23.4,JazzCash,Home Delivery
ORD001002,20251015,1,11,1,673.0,3,0,0,2019.0,386.0,19.1,Credit Card,In-Store
ORD001002,20251015,1,12,1,412.0,4,0,0,1648.0,295.0,17.9,JazzCash,In-Store
ORD001002,20251015,1,13,1,544.0,3,0,0,1632.0,321.0,19.7,EasyPaisa,Home Delivery
ORD001003,20250917,2,14,3,556.0,2,5,56,1056.0,107.0,10.1,Credit Card,In-Store
ORD001003,20250917,2,15,3,670.0,3,0,0,2010.0,282.0,14.0,EasyPaisa,In-Store
ORD001003,20250917,2,16,3,899.0,4,0,0,3596.0,515.0,14.3,JazzCash,In-Store
ORD001004,20250826,2,17,4,129.0,1,5,6,123.0,21.0,17.1,Debit Card,In-Store
ORD001004,20250826,2,18,4,260.0,2,0,0,520.0,72.0,13.8,JazzCash,Home Delivery
ORD001004,20250826,2,19,4,366.0,2,15,110,622.0,69.0,11.1,Cash,Home Delivery
ORD001004,20250826,2,20,4,164.0,3,0,0,492.0,66.0,13.4,Cash,In-Store
ORD001004,20250826,2,21,4,458.0,4,0,0,1832.0,326.0,17.8,Cash,Home Delivery
ORD001004,20250826,2,22,4,417.0,1,5,21,396.0,74.0,18.7,Debit Card,Home Delivery
ORD001004,20250826,2,23,4,371.0,4,0,0,1484.0,253.0,17.0,EasyPaisa,In-Store
ORD001004,20250826,2,24,4,97.0,1,10,10,87.0,10.0,11.5,EasyPaisa,In-Store
ORD001005,20251117,2,25,1,110.0,2,10,22,198.0,36.0,18.2,Cash,In-Store
ORD001005,20251117,2,26,1,336.0,1,0,0,336.0,53.0,15.8,JazzCash,In-Store
ORD001005,20251117,2,27,1,302.0,4,0,0,1208.0,167.0,13.8,Debit Card,In-Store
ORD001005,20251117,2,28,1,886.0,2,5,89,1683.0,140.0,8.3,Cash,In-Store
ORD001006,20250419,2,29,1,351.0,2,15,105,597.0,114.0,19.1,Cash,Home Delivery
ORD001007,20260325,2,30,1,88.0,1,15,13,75.0,17.0,22.7,Cash,In-Store
ORD001007,20260325,2,31,1,1187.0,4,0,0,4748.0,822.0,17.3,Debit Card,In-Store
ORD001007,20260325,2,21,1,499.0,2,15,150,848.0,69.0,8.1,Debit Card,In-Store
ORD001007,20260325,2,17,1,123.0,3,15,55,314.0,32.0,10.2,Cash,In-Store
ORD001007,20260325,2,32,1,203.0,3,0,0,609.0,100.0,16.4,JazzCash,In-Store
ORD001008,20260203,2,33,3,999.0,2,5,100,1898.0,446.0,23.5,EasyPaisa,Home Delivery
ORD001008,20260203,2,34,3,455.0,3,0,0,1365.0,265.0,19.4,Cash,Home Delivery
ORD001008,20260203,2,35,3,191.0,2,10,38,344.0,32.0,9.3,EasyPaisa,In-Store
ORD001008,20260203,2,36,3,113.0,3,5,17,322.0,80.0,24.8,Credit Card,In-Store
ORD001009,20250826,2,37,4,1285.0,1,0,0,1285.0,278.0,21.6,Credit Card,Home Delivery
ORD001009,20250826,2,38,4,46.0,1,0,0,46.0,4.0,8.7,Cash,In-Store
ORD001010,20250618,2,21,3,470.0,1,5,24,446.0,56.0,12.6,Debit Card,Home Delivery
ORD001010,20250618,2,7,3,62.0,4,0,0,248.0,25.0,10.1,EasyPaisa,In-Store
ORD001010,20250618,2,39,3,598.0,2,10,120,1076.0,174.0,16.2,JazzCash,Home Delivery
